C13H16N2O2	Melatonin
C13H18O2	Ibuprofen
C13H28	Tridecane
C14H10	Anthracene
C14H10O14	Benzoyl Peroxide
C14H12O3	Resveratrol
C14H18N2O5	Aspartame
C14H18N4O3	Trimethoprim
C14H30	Tetradecane
C15H10O4	Daidzein
C15H10O5	Apigenin
C15H10O5	Emodin
C15H10O5	Genistein
C15H10O6	Luteolin
C15H10O7	Quercetin
C15H12N2O	Carbamazepine
C15H12N2O2	Phenytoin
C15H32	Pentadecane
C16H34	Hexadecane
C17H14F3N3O2S	Celecoxib
C17H18N2O6	Nifedipine
C17H19N3O3S	Omeprazole
C17H36	Heptadecane
C18H27NO3	Capsaicin
C18H32O2	Linoleic Acid
C18H36O2	Stearic Acid
C18H38	Octadecane
C19H16ClNO4	Indometacin
C19H40	Nonadecane
C20H24O2N2	Quinine
C20H28O2	Tretinoin
C20H42	Eicosane
C21H36N7O16P3S	Coenzyme A
C21H30O2	Tetrahydrocannabinol|THC
C22H23ClN2O2	Loratadine
C164H256Na2O68S2	Maitotoxin
CaB6	Calcium Boride
CaBr2	Calcium Bromide
Ca(CN)2	Calcium Cyanide
CaCO3	Calcium Carbonate|Spent Lime|Calcite|Limestone|Marble
CaC2	Calcium Carbide
Ca(CHO2)2	Calcium Formate
Ca(C2H3O2)2	Calcium Acetate
CaC2O4	Calcium Oxalate
CaCN2	Calcium Cyanamide
CaCl2	Calcium Chloride
Ca(ClO)2	Calcium Hypochlorite
Ca(ClO3)2	Calcium Chlorate
Ca(ClO4)2	Calcium Perchlorate
CaF2	Calcium Fluoride|Fluorite
CaH2	Calcium Hydride
Ca(H2PO2)2	Calcium Hypophosphite
CaI2	Calcium Iodide
Ca(IO3)2	Calcium Iodate
CaMoO4	Calcium Molybdate
Ca(NO2)2	Calcium Nitrite
Ca(NO3)2	Calcium Nitrate
Ca(NO3)2(H2O)4	Calcium Nitrate Tetrahydrate
Ca(NbO3)2	Calcium Metaniobate
CaO	Quicklime|Calcium Oxide|Burnt Lime
Ca(OH)2	Calcium Hydroxide|Slaked Lime
CaO2	Calcium Peroxide
CaP	Calcium Monophosphide
CaS	Calcium Sulfide|Hepar Calcies|Sulfurated Lime|Oldhamite
CaSO3	Calcium Sulfite
CaSO4	Calcium Sulfate|Whiskers Crystal
CaSO4(H2O)	Plaster Of Paris|Calcium Sulfate Hemihydrate
CaSe	Calcium Selenide
CaSeO3	Calcium Selenite
CaSeO4	Calcium Selenate
CaSiO3	Calcium Metasilicate|Wollastonite
CaTe	Calcium Telluride
CaTeO3	Calcium Tellurite
CaTeO4	Calcium Tellurate
CaTiO3	Calcium Titanate
Ca(VO3)2	Calcium Metavanadate
Ca(VO4)2	Calcium Orthovanadate
CaWO4	Calcium Tungstate
Ca3N2	Calcium Nitride
Ca3P2	Calcium Phosphide
CdBr2	Cadmium Bromide
Cd(CN)2	Cadmium Cyanide
CdCO3	Cadmium Carbonate
Cd(C2H3O2)2	Cadmium Acetate
CdC2O4	Cadmium Oxalate
CdCl2	Cadmium Chloride
CdCrO4	Cadmium Chromate
CdF2	Cadmium Fluoride
CdI2	Cadmium Iodide
Cd(IO3)2	Cadmium Iodate
CdMoO4	Cadmium Molybdate
